input, magic
1.169975e-17, 0x5F3759DF
2.356769e-36, 0x5F3507FC
1.334950e-32, 0x5F3C9426
1.462667e-25, 0x5F3419B1
5.598258e-11, 0x5F3E2016
1.435054e-17, 0x5F3C12A1
4.104891e-15, 0x5F3759DF
6.782324e-28, 0x5F3759DF
1.116048e-16, 0x5F341453
2.894067e-33, 0x5F3C695F
1.222300e-35, 0x5F3EA841
2.188884e-37, 0x5F381DD6
1.692107e-09, 0x5F2FCB87
5.233571e-17, 0x5F3B5A91
3.737805e-18, 0x5F3B66CC
1.241546e-36, 0x5F315843
2.545180e-17, 0x5F3020AC
3.962311e-33, 0x5F341030
2.642034e-36, 0x5F3759DF
1.543464e-01, 0x5F335163
6.648504e-19, 0x5F35B21C
2.041102e-13, 0x5F395A61
2.622644e-21, 0x5F337251
7.151434e-24, 0x5F3562C8
6.727870e-04, 0x5F305A89
8.018239e-29, 0x5F2E8A5F
1.145979e-24, 0x5F2D261B
6.117389e-25, 0x5F3334FB
4.192178e-27, 0x5F304E09
1.540259e-31, 0x5F347583
5.464868e-10, 0x5F322E60
3.692913e-20, 0x5F315DF0
4.669906e-27, 0x5F32539C
1.447156e-13, 0x5F32008B
1.730014e-16, 0x5F35ECC2
2.225723e-12, 0x5F30B91F
6.919329e-21, 0x5F35ECC6
1.456744e-29, 0x5F37ED8A
1.571501e-22, 0x5F344D91
6.146135e-03, 0x5F309264
2.017833e-12, 0x5F35E1A6
6.302136e-29, 0x5F34F274
3.223296e-38, 0x5F30B727
4.603039e-30, 0x5F31677A
1.272757e-05, 0x5F370BA0
3.479940e-27, 0x5F39815B
3.513994e-06, 0x5F3759DF
2.431312e-38, 0x5F3759DF
2.970291e-29, 0x5F318422
1.937974e-17, 0x5F32353D
5.080882e-07, 0x5F369B6D
8.376211e-11, 0x5F32FDBC
9.308072e-13, 0x5F3D5C4E
3.921687e-20, 0x5F32BD24
2.766664e-18, 0x5F36BF83
4.789607e-02, 0x5F34C78C
1.281671e-22, 0x5F332A10
4.607858e-36, 0x5F309D5F
1.473220e-18, 0x5F2E3648
3.574963e-22, 0x5F319E13
1.194987e-11, 0x5F35BD66
1.379172e-18, 0x5F30A47B
4.397763e-04, 0x5F32720E
1.524970e-25, 0x5F34551A
8.434676e-14, 0x5F30BE65
2.427032e-10, 0x5F3E5C82
4.371543e-15, 0x5F3759DF
2.822542e-12, 0x5F34ADC0
2.259211e-10, 0x5F3D392D
4.563598e-25, 0x5F30253D
7.337546e-34, 0x5F3F5C33
3.784797e-22, 0x5F320544
7.345626e-35, 0x5F310CD7
6.326103e-14, 0x5F3B66DE
3.161856e-24, 0x5F3E92AD
1.710975e-08, 0x5F380F61
3.006739e-03, 0x5F342202
8.457356e-10, 0x5F3B4267
2.982854e-04, 0x5F345252
1.462309e-27, 0x5F322421
4.163556e-38, 0x5F3759DF
1.039977e-32, 0x5F3759DF
8.357059e-05, 0x5F3031F5
1.426769e-02, 0x5F3AA859
9.601953e-20, 0x5F3138E8
6.046622e-11, 0x5F41B6B6
5.501610e-30, 0x5F336139
2.685235e-34, 0x5F32171B
2.483884e-13, 0x5F3D6497
3.933094e-29, 0x5F34FE9B
1.001220e-01, 0x5F31BC89
7.190963e-25, 0x5F37EE90
2.499904e-05, 0x5F316273
1.559861e-03, 0x5F30F11E
8.814610e-09, 0x5F331C6F
2.874512e-09, 0x5F3308DA
4.083757e-14, 0x5F33F7BD
2.154429e-02, 0x5F32A4F5
1.008598e-31, 0x5F33B026
6.882429e-35, 0x5F2EBC6D
5.723840e-06, 0x5F31C5AB
2.237053e-15, 0x5F337456
7.016714e-27, 0x5F328271
6.055404e-13, 0x5F3359BB
5.986099e-28, 0x5F34646C
1.949751e-05, 0x5F34D834
1.078935e-24, 0x5F3348F2
2.039487e-30, 0x5F323511
6.376764e-19, 0x5F331196
1.381491e-12, 0x5F308EAE
1.457150e-03, 0x5F3059CA
4.076658e-02, 0x5F31C08E
1.599609e-24, 0x5F3293B5
3.496711e-01, 0x5F314B9D
3.992250e-27, 0x5F3759DF
1.725271e-03, 0x5F32A644
5.840513e-38, 0x5F353EF7
2.792112e-06, 0x5F320A9A
1.298620e-18, 0x5F31A0FB
2.807885e-01, 0x5F3A455D
3.001251e-29, 0x5F3297AB
3.246990e-33, 0x5F40F796
2.927641e-11, 0x5F34B858
5.248753e-31, 0x5F322D68
3.680851e-06, 0x5F3F5979
8.921323e-07, 0x5F3759DF
5.764311e-21, 0x5F31E6C0
6.292661e-37, 0x5F3759DF
8.679141e-33, 0x5F31E5E8
1.392372e-19, 0x5F31706F
3.675297e-24, 0x5F3B6964
2.111790e-37, 0x5F39717C
1.529933e-02, 0x5F3D545E
2.280764e-30, 0x5F333AB2
2.466143e-02, 0x5F32355B
8.506333e-18, 0x5F2F28D2
1.412177e-18, 0x5F335CDA
1.849231e-38, 0x5F3270EB
6.753116e-32, 0x5F3567FF
2.504317e-06, 0x5F31BAC5
9.741107e-32, 0x5F354502
8.533138e-08, 0x5F2EA8BD
6.036645e-13, 0x5F3356C4
5.659251e-22, 0x5F2FFCA2
2.244873e-18, 0x5F303521
2.353659e-14, 0x5F2E7771
6.422142e-36, 0x5F33C7CF
1.019570e-19, 0x5F3354C7
1.660834e-05, 0x5F3B0EED
6.537059e-05, 0x5F3829EC
3.135744e-19, 0x5F32BBA7
7.832342e-18, 0x5F3395AD
2.799854e-01, 0x5F39FF43
6.879012e-23, 0x5F3381B2
1.152557e-16, 0x5F336988
3.910236e-17, 0x5F320763
4.668589e-35, 0x5F3FE464
1.021572e-12, 0x5F38879D
2.443377e-29, 0x5F352025
1.296055e-18, 0x5F30F152
1.562737e-34, 0x5F354394
1.286654e-33, 0x5F308728
1.052087e-21, 0x5F3759DF
1.609955e-20, 0x5F3759DF
8.247503e-22, 0x5F3F74BC
7.090984e-03, 0x5F32175D
3.859282e-17, 0x5F318006
9.209482e-35, 0x5F33270F
4.558205e-17, 0x5F356D21
5.148595e-10, 0x5F352934
4.200055e-32, 0x5F3759DF
8.823250e-03, 0x5F346295
5.832512e-14, 0x5F40C936
4.751779e-11, 0x5F3759DF
8.234055e-37, 0x5F3A0B05
3.512378e-11, 0x5F32BD62
3.941147e-20, 0x5F359306
3.641747e-31, 0x5F32CED9
1.419142e-02, 0x5F3C228B
9.536469e-05, 0x5F30B957
1.173176e-06, 0x5F35EE91
7.967767e-11, 0x5F322B16
5.419303e-35, 0x5F39EA10
2.535070e-25, 0x5F366F45
1.874144e-09, 0x5F352577
4.811789e-27, 0x5F2F8162
1.517017e-20, 0x5F3A5F7D
2.805809e-32, 0x5F312F16
2.229495e-02, 0x5F2EEB60
1.240287e-24, 0x5F320027
1.229946e-14, 0x5F3759DF
5.199115e-25, 0x5F31832E
9.117513e-25, 0x5F3759DF
1.218548e-03, 0x5F372D31
5.205277e-01, 0x5F35DF84
5.852944e-14, 0x5F423CB1
5.648930e-38, 0x5F36605C
3.915036e-32, 0x5F3759DF
1.111398e-34, 0x5F3290CC
1.181467e-21, 0x5F33B6D8
7.820285e-03, 0x5F349015
4.950213e-11, 0x5F3759DF
3.161837e-18, 0x5F3C3676
5.539666e-24, 0x5F31A758
4.161360e-06, 0x5F3E6DB5
7.573940e-17, 0x5F327C53
2.257420e-02, 0x5F31AF32
1.087828e-08, 0x5F308AE2
1.429729e-20, 0x5F402939
3.387201e-23, 0x5F314139
1.995300e-38, 0x5F2FBF54
8.423742e-25, 0x5F3E3B4A
4.105608e-38, 0x5F38B1DC
1.614898e-03, 0x5F30C5F4
6.690192e-32, 0x5F3365FD
9.771929e-33, 0x5F3759DF
8.052964e-19, 0x5F3BF346
4.822286e-27, 0x5F324704
3.336377e-11, 0x5F347C1F
1.350073e-11, 0x5F3DBCB2
1.023679e-18, 0x5F3759DF
1.370165e-36, 0x5F333C37
3.379553e-24, 0x5F3CF08D
3.889842e-16, 0x5F3759DF
1.401650e-23, 0x5F3CC752
8.532900e-25, 0x5F3D5965
1.530427e-07, 0x5F32C308
1.447491e-01, 0x5F3368F6
3.713706e-01, 0x5F310AB1
8.549640e-27, 0x5F3262BE
1.254365e-35, 0x5F3AC2D4
7.715141e-31, 0x5F3AFA76
2.292274e-09, 0x5F32AA67
1.136244e-05, 0x5F34B76F
2.251505e-14, 0x5F2ECD31
2.122359e-24, 0x5F3366D8
4.957170e-38, 0x5F3E009B
2.467508e-19, 0x5F39BF62
1.986217e-17, 0x5F2CAC35
7.777221e-32, 0x5F313C19
5.077650e-19, 0x5F32E510
1.912226e-02, 0x5F35D891
2.154709e-09, 0x5F32E960
1.865231e-37, 0x5F3F48A0
2.912158e-04, 0x5F3759DF
4.201185e-01, 0x5F30FA96
3.773456e-21, 0x5F3A03CF
3.668633e-19, 0x5F310646
6.643896e-02, 0x5F396AEB
1.577356e-06, 0x5F2E9E70
1.416386e-34, 0x5F334CF4
2.565668e-08, 0x5F31C279
5.687570e-29, 0x5F396090
1.974994e-18, 0x5F321AE3
1.017595e-03, 0x5F3D4472
4.372771e-14, 0x5F33B9FE
1.841553e-17, 0x5F33D779
2.027249e-36, 0x5F35286A
2.124406e-31, 0x5F3B6CB2
2.556518e-05, 0x5F312A4D
2.978410e-14, 0x5F31E681
1.729951e-27, 0x5F30406D
8.070524e-24, 0x5F330A81
6.943488e-19, 0x5F357E17
2.108124e-34, 0x5F3759DF
3.265087e-17, 0x5F3529EF
4.062003e-10, 0x5F30DBC9
3.725272e-31, 0x5F362B3D
1.135350e-03, 0x5F376490
5.984877e-27, 0x5F3303CB
1.265200e-10, 0x5F3297E6
1.154027e-22, 0x5F33F97F
2.133456e-29, 0x5F2E6F2F
9.789305e-30, 0x5F342162
8.781059e-09, 0x5F329C98
4.386173e-01, 0x5F3629A2
1.167213e-13, 0x5F359D23
4.188913e-30, 0x5F325039
7.193670e-21, 0x5F34D667
5.254058e-10, 0x5F316604
6.142834e-07, 0x5F31DD57
1.301690e-38, 0x5F3AA564
4.439165e-33, 0x5F309D02
