input,reference,initial,final,iters,magic_number
0.142323,2.650712,2.659736,2.650666,1,0x5F3317A7
0.298644,1.829881,1.844222,1.829712,1,0x5F388370
0.306465,1.806382,1.826673,1.806039,1,0x5F3844E9
0.551975,1.345986,1.442826,1.345858,2,0x5F3F55A3
0.323758,1.757477,1.784721,1.756840,1,0x5F375391
0.188873,2.300993,2.330523,2.300422,1,0x5F35DB38
1.095072,0.955605,0.922390,0.955601,2,0x5F323767
0.088330,3.364701,3.464490,3.364692,2,0x5F382D52
0.653013,1.237483,1.251393,1.237248,1,0x5F33C38F
0.512821,1.396423,1.463335,1.396398,2,0x5F3CF2AE
0.297788,1.832510,1.854555,1.832111,1,0x5F399DE8
0.111799,2.990755,3.040934,2.990754,2,0x5F351A24
0.039506,5.031163,4.990591,5.030674,1,0x5F309B72
0.050515,4.449279,4.402999,4.448560,1,0x5F3459CB
0.041645,4.900281,5.200117,4.900040,2,0x5F3BB117
0.080887,3.516093,3.504611,3.516037,1,0x5F331F9F
1.210545,0.908886,0.941530,0.908881,2,0x5F3E81A5
0.845050,1.087825,1.090318,1.087816,1,0x5F37BA20
0.216055,2.151383,2.082587,2.151376,2,0x5F33E7DE
0.430240,1.524560,1.629472,1.524440,2,0x5F3EB6C2
0.309056,1.798794,1.862516,1.798784,2,0x5F3D8536
0.017461,7.567776,7.420601,7.567772,2,0x5F34FA83
0.318982,1.770587,1.846512,1.770566,2,0x5F3E0346
0.219011,2.136815,2.188859,2.136812,2,0x5F3C387E
0.035811,5.284378,5.635596,5.284015,2,0x5F3DADE6
0.849101,1.085226,1.152267,1.085171,2,0x5F402CD3
0.463221,1.469284,1.476432,1.469232,1,0x5F339162
0.053173,4.336669,4.263871,4.336668,2,0x5F35575A
0.034021,5.421564,5.349606,5.421564,2,0x5F30DCEE
1.012980,0.993572,0.936493,0.993537,2,0x5F3092AE
0.295402,1.839895,1.835250,1.839878,1,0x5F3688F3
0.136759,2.704095,2.696051,2.704059,1,0x5F32915F
0.122374,2.858613,2.944368,2.858606,2,0x5F39C021
1.200074,0.912843,0.946280,0.912837,2,0x5F3F0D6F
0.023453,6.529819,6.761351,6.529784,2,0x5F386D31
0.017669,7.523034,7.637374,7.523033,2,0x5F3CC4BE
0.013612,8.571234,8.482705,8.571233,2,0x5F373B07
0.905921,1.050642,0.985696,1.050593,2,0x5F304BC4
1.664926,0.775002,0.825943,0.774951,2,0x5F3DFF22
0.301494,1.821212,1.833555,1.821086,1,0x5F37E0AD
0.920799,1.042120,1.062560,1.041515,1,0x5F3DDEAF
