input, method, guess, after_one, final, iters
6.391783e-02,Moroz,3.843100e+00,3.954029e+00,3.954029e+00,1
2.354609e-01,Blinn,2.116313e+00,2.062027e+00,2.062027e+00,1
2.354609e-01,QuakeIII,1.990587e+00,2.057273e+00,2.060813e+00,2
2.354609e-01,withoutDiv,2.019638e+00,2.059596e+00,2.059596e+00,1
2.354609e-01,optimal_grid,1.808156e+00,2.061290e+00,2.061290e+00,1
2.354609e-01,Moroz,1.991049e+00,2.059069e+00,2.059069e+00,1
3.570350e-02,Blinn,5.714976e+00,5.268798e+00,5.290745e+00,2
3.570350e-02,QuakeIII,5.444697e+00,5.285656e+00,5.292290e+00,2
3.570350e-02,withoutDiv,5.521627e+00,5.277181e+00,5.292237e+00,2
3.570350e-02,optimal_grid,4.714973e+00,5.295720e+00,5.208803e+00,95
3.570350e-02,Moroz,5.446548e+00,5.290281e+00,5.296952e+00,95
1.719384e-01,Blinn,2.624493e+00,2.397151e+00,2.410654e+00,2
1.719384e-01,QuakeIII,2.489353e+00,2.407850e+00,2.411638e+00,2
1.719384e-01,withoutDiv,2.527818e+00,2.403117e+00,2.411601e+00,2
1.719384e-01,optimal_grid,2.124491e+00,2.412616e+00,2.412616e+00,1
1.719384e-01,Moroz,2.490279e+00,2.409948e+00,2.409948e+00,1
9.497606e-02,Blinn,3.480383e+00,3.234278e+00,3.244155e+00,2
9.497606e-02,QuakeIII,3.345243e+00,3.240129e+00,3.244827e+00,2
9.497606e-02,withoutDiv,3.383708e+00,3.235795e+00,3.244800e+00,2
9.497606e-02,optimal_grid,2.980381e+00,3.242747e+00,3.193642e+00,95
9.497606e-02,Moroz,3.346169e+00,3.242982e+00,3.242982e+00,1
4.466595e-02,Blinn,5.141379e+00,4.704751e+00,4.729812e+00,2
4.466595e-02,QuakeIII,4.871100e+00,4.725414e+00,4.731628e+00,2
4.466595e-02,withoutDiv,4.948030e+00,4.716570e+00,4.731568e+00,2
4.466595e-02,optimal_grid,4.141376e+00,4.732104e+00,4.732104e+00,1
4.466595e-02,Moroz,4.872951e+00,4.729530e+00,4.735797e+00,95
2.449278e-01,Blinn,2.040578e+00,2.021522e+00,2.021522e+00,1
2.449278e-01,QuakeIII,1.952719e+00,2.017220e+00,2.020594e+00,2
2.449278e-01,withoutDiv,1.971951e+00,2.018860e+00,2.018860e+00,1
2.449278e-01,optimal_grid,1.770288e+00,2.020910e+00,2.020910e+00,1
2.449278e-01,Moroz,1.953182e+00,2.018983e+00,2.018983e+00,1
6.211126e-02,Blinn,4.024879e+00,4.013187e+00,4.013187e+00,1
6.211126e-02,QuakeIII,3.877300e+00,4.005742e+00,4.012481e+00,2
6.211126e-02,withoutDiv,3.915765e+00,4.009028e+00,4.012494e+00,2
6.211126e-02,optimal_grid,3.512438e+00,4.012923e+00,4.012923e+00,1
6.211126e-02,Moroz,3.878225e+00,4.009242e+00,4.016023e+00,95
2.049827e-01,Blinn,2.360138e+00,2.202838e+00,2.208349e+00,2
2.049827e-01,QuakeIII,2.224998e+00,2.208543e+00,2.208543e+00,1
2.049827e-01,withoutDiv,2.263463e+00,2.206672e+00,2.208721e+00,2
2.049827e-01,optimal_grid,1.930068e+00,2.208732e+00,2.208732e+00,1
2.049827e-01,Moroz,2.225924e+00,2.210479e+00,2.210479e+00,1
1.609903e-02,Blinn,7.939324e+00,7.884217e+00,7.881512e+00,2
1.609903e-02,QuakeIII,7.669044e+00,7.872840e+00,7.881327e+00,2
1.609903e-02,withoutDiv,7.745975e+00,7.877873e+00,7.881338e+00,2
