input,reference,initial,after_one,final,iters,magic
0.433977,1.517983,1.564807,1.515794,1.517978,2,0x5F3764AE
0.138316,2.688837,2.758996,2.686067,2.688833,2,0x5F3764AF
0.167571,2.442873,2.524954,2.438689,2.442862,2,0x5F3764B0
0.819208,1.104849,1.113553,1.104746,1.104746,1,0x5F3764B1
1.559092,0.800874,0.826607,0.799620,0.800871,2,0x5F3764B2
0.317325,1.775203,1.798111,1.774758,1.775203,2,0x5F3764B3
0.068879,3.810272,3.763454,3.809412,3.810272,2,0x5F3764B4
1.459520,0.827742,0.851501,0.826709,0.827740,2,0x5F3764B5
1.080382,0.962080,0.946285,0.961694,0.962080,2,0x5F3764B6
0.099885,3.164102,3.267367,3.158992,3.164089,2,0x5F3764B7
1.308427,0.874229,0.889274,0.873838,0.874229,2,0x5F3764B8
0.078301,3.573680,3.612703,3.573039,3.573680,2,0x5F3764B9
0.038057,5.126032,5.295382,5.117548,5.126011,2,0x5F3764BA
0.174796,2.391850,2.467153,2.388257,2.391842,2,0x5F3764BB
0.156003,2.531824,2.617499,2.527426,2.531812,2,0x5F3764BC
0.609669,1.280717,1.323093,1.278590,1.280712,2,0x5F3764BD
0.042216,4.866980,5.029200,4.858779,4.866959,2,0x5F3764BE
0.315677,1.779830,1.801408,1.779436,1.779830,2,0x5F3764BF
0.058820,4.123240,3.983294,4.116196,4.123222,2,0x5F3764C0
1.352469,0.859877,0.878264,0.859283,0.859877,2,0x5F3764C1
0.032334,5.561211,5.661665,5.558473,5.561209,2,0x5F3764C2
0.954871,1.023358,0.988946,1.021642,1.023354,2,0x5F3764C3
0.075801,3.632150,3.652716,3.631975,3.631975,1,0x5F3764C4
1.206965,0.910233,0.914640,0.910201,0.910201,1,0x5F3764C5
0.034836,5.357800,5.501554,5.351963,5.357791,2,0x5F3764C6
1.948970,0.716304,0.729139,0.715957,0.716304,2,0x5F3764C7
0.306421,1.806510,1.819920,1.806361,1.806361,1,0x5F3764C8
1.275154,0.885561,0.897593,0.885315,0.885561,2,0x5F3764C9
0.052197,4.377015,4.390458,4.376953,4.376953,1,0x5F3764CA
0.060474,4.066446,3.930353,4.059690,4.066430,2,0x5F3764CB
0.032272,5.566551,5.665638,5.563890,5.566549,2,0x5F3764CC
0.040960,4.941047,5.109602,4.932323,4.941023,2,0x5F3764CD
0.232005,2.076113,2.009485,2.072940,2.076106,2,0x5F3764CE
0.409452,1.562782,1.613859,1.560250,1.562776,2,0x5F3764CF
0.099578,3.168965,3.272274,3.163859,3.168953,2,0x5F3764D0
0.234185,2.066431,1.996026,2.062874,2.066422,2,0x5F3764D1
0.164753,2.463677,2.547508,2.459350,2.463666,2,0x5F3764D2
0.086232,3.405385,3.485820,3.402513,3.405381,2,0x5F3764D3
1.484374,0.820783,0.845289,0.819674,0.820781,2,0x5F3764D4
0.045764,4.674516,4.802145,4.669242,4.674508,2,0x5F3764D5
0.499412,1.415046,1.433940,1.414665,1.415045,2,0x5F3764D6
1.392466,0.847437,0.868266,0.846663,0.847436,2,0x5F3764D7
0.833465,1.095359,1.099300,1.095337,1.095337,1,0x5F3764D8
0.503002,1.409988,1.429764,1.409570,1.409987,2,0x5F3764D9
1.093095,0.956469,0.943109,0.956191,0.956469,2,0x5F3764DA
0.316903,1.776384,1.798959,1.775952,1.776384,2,0x5F3764DB
0.928529,1.037773,1.004236,1.036165,1.037769,2,0x5F3764DC
0.061513,4.031978,3.897129,4.025288,4.031961,2,0x5F3764DD
0.905485,1.050895,1.027281,1.050105,1.050894,2,0x5F3764DE
0.382343,1.617236,1.668079,1.614813,1.617230,2,0x5F3764DF
0.201322,2.228714,2.254956,2.228249,2.228714,2,0x5F3764E0
0.133676,2.735100,2.796124,2.733043,2.735098,2,0x5F3764E1
0.273378,1.912576,1.886011,1.912025,1.912575,2,0x5F3764E2
0.727163,1.172692,1.205603,1.171294,1.172690,2,0x5F3764E3
0.099924,3.163485,3.266754,3.158373,3.163473,2,0x5F3764E4
0.224523,2.110422,2.069347,2.109231,2.110421,2,0x5F3764E5
0.056446,4.209050,4.118534,4.206151,4.209047,2,0x5F3764E6
0.183502,2.334426,2.397521,2.331845,2.334422,2,0x5F3764E7
0.865591,1.074839,1.067176,1.074758,1.074758,1,0x5F3764E8
0.262377,1.952257,1.908013,1.950764,1.952255,2,0x5F3764E9
0.803475,1.115614,1.129292,1.115361,1.115613,2,0x5F3764EA
0.342594,1.708480,1.747578,1.707127,1.708478,2,0x5F3764EB
1.014842,0.992661,0.962673,0.991315,0.992658,2,0x5F3764EC
0.147071,2.607572,2.688966,2.603721,2.607564,2,0x5F3764ED
0.200560,2.232944,2.261055,2.232411,2.232944,2,0x5F3764EE
0.034760,5.363658,5.506441,5.357906,5.363648,2,0x5F3764EF
0.061571,4.030063,3.895263,4.023375,4.030046,2,0x5F3764F0
0.462602,1.470268,1.507565,1.468837,1.470266,2,0x5F3764F1
0.244033,2.024303,1.956635,2.020948,2.024295,2,0x5F3764F2
1.207386,0.910074,0.914538,0.910042,0.910042,1,0x5F3764F3
0.190403,2.291726,2.342310,2.290039,2.291724,2,0x5F3764F4
0.032306,5.563663,5.663513,5.560958,5.563661,2,0x5F3764F5
0.092254,3.292361,3.389474,3.288023,3.292353,2,0x5F3764F6
0.664119,1.227092,1.268649,1.224957,1.227086,2,0x5F3764F7
0.815615,1.107280,1.117154,1.107147,1.107147,1,0x5F3764F8
0.065538,3.906195,3.816932,3.903158,3.906191,2,0x5F3764F9
1.755845,0.754670,0.777423,0.753630,0.754668,2,0x5F3764FA
1.045577,0.977962,0.954990,0.977159,0.977961,2,0x5F3764FB
1.598017,0.791060,0.816880,0.789782,0.791057,2,0x5F3764FC
0.075911,3.629499,3.650958,3.629309,3.629309,1,0x5F3764FD
0.796153,1.120732,1.136617,1.120393,1.120732,2,0x5F3764FE
0.344274,1.704307,1.744222,1.702894,1.704306,2,0x5F3764FF
0.378227,1.626012,1.676316,1.623654,1.626007,2,0x5F376500
0.581035,1.311894,1.351735,1.310061,1.311891,2,0x5F376501
0.507624,1.403554,1.425146,1.403053,1.403553,2,0x5F376502
0.944955,1.028714,0.993908,1.026967,1.028709,2,0x5F376503
0.034666,5.370906,5.512451,5.365262,5.370897,2,0x5F376504
0.087561,3.379443,3.464568,3.376199,3.379438,2,0x5F376505
0.668165,1.223371,1.264605,1.221262,1.223365,2,0x5F376506
0.123177,2.849281,2.894710,2.848189,2.849280,2,0x5F376507
1.698824,0.767230,0.791679,0.766049,0.767228,2,0x5F376508
0.184727,2.326670,2.387726,2.324246,2.326667,2,0x5F376509
0.565450,1.329851,1.367321,1.328252,1.329848,2,0x5F37650A
0.844457,1.088206,1.088314,1.088206,1.088206,1,0x5F37650B
0.409079,1.563494,1.614612,1.560959,1.563488,2,0x5F37650C
0.374629,1.633801,1.683513,1.631509,1.633796,2,0x5F37650D
0.043915,4.771915,4.920515,4.764902,4.771900,2,0x5F37650E
1.920510,0.721592,0.736258,0.721142,0.721592,2,0x5F37650F
0.047713,4.578047,4.677435,4.574787,4.578043,2,0x5F376510
0.075260,3.645162,3.661378,3.645054,3.645054,1,0x5F376511
1.801502,0.745045,0.766011,0.744152,0.745044,2,0x5F376512
0.355400,1.677418,1.721973,1.675628,1.677416,2,0x5F376513
0.054356,4.289207,4.252317,4.288733,4.289207,2,0x5F376514
1.622295,0.785118,0.810812,0.783843,0.785115,2,0x5F376515
0.058375,4.138918,3.997548,4.131758,4.138900,2,0x5F376516
0.081339,3.506303,3.564114,3.504865,3.506302,2,0x5F376517
1.249250,0.894696,0.904074,0.894548,0.894548,1,0x5F376518
0.066386,3.881148,3.803362,3.878825,3.881146,2,0x5F376519
1.697912,0.767436,0.791908,0.766253,0.767434,2,0x5F37651A
0.091477,3.306305,3.401906,3.302119,3.306297,2,0x5F37651B
0.343954,1.705099,1.744865,1.703697,1.705098,2,0x5F37651C
1.049281,0.976234,0.954066,0.975485,0.976233,2,0x5F37651D
0.084137,3.447514,3.519352,3.445253,3.447512,2,0x5F37651E
0.308573,1.800201,1.815627,1.800002,1.800002,1,0x5F37651F
0.063592,3.965520,3.848082,3.960355,3.965510,2,0x5F376520
0.055800,4.233353,4.159921,4.231453,4.233352,2,0x5F376521
1.275546,0.885425,0.897501,0.885177,0.885425,2,0x5F376522
0.142014,2.653589,2.729432,2.650307,2.653583,2,0x5F376523
0.039293,5.044760,5.216322,5.035909,5.044737,2,0x5F376524
0.357250,1.673069,1.718274,1.671220,1.673066,2,0x5F376525
0.051170,4.420708,4.456211,4.420280,4.420709,2,0x5F376526
1.192088,0.915895,0.918365,0.915885,0.915885,1,0x5F376527
1.345449,0.862117,0.880025,0.861555,0.862117,2,0x5F376528
1.835815,0.738050,0.757433,0.737279,0.738048,2,0x5F376529
1.005546,0.997239,0.965001,0.995692,0.997235,2,0x5F37652A
0.066940,3.865076,3.794514,3.863155,3.865075,2,0x5F37652B
0.250726,1.997104,1.931324,1.993890,1.997096,2,0x5F37652C
0.075355,3.642873,3.659870,3.642753,3.642753,1,0x5F37652D
0.038907,5.069769,5.241076,5.060988,5.069746,2,0x5F37652E
0.406539,1.568371,1.619697,1.565824,1.568365,2,0x5F37652F
0.180884,2.351255,2.418478,2.348345,2.351249,2,0x5F376530
0.683302,1.209744,1.249473,1.207766,1.209739,2,0x5F376531
1.124532,0.943005,0.935255,0.942910,0.942910,1,0x5F376532
0.055869,4.230728,4.155497,4.228734,4.230727,2,0x5F376533
1.343260,0.862819,0.880573,0.862268,0.862819,2,0x5F376534
0.163656,2.471915,2.556302,2.467545,2.471904,2,0x5F376535
0.092795,3.282753,3.380836,3.278314,3.282744,2,0x5F376536
0.137400,2.697782,2.766354,2.695145,2.697778,2,0x5F376537
0.320338,1.766835,1.792101,1.766290,1.766835,2,0x5F376538
0.152573,2.560127,2.644971,2.555862,2.560116,2,0x5F376539
1.137727,0.937521,0.931957,0.937472,0.937472,1,0x5F37653A
0.100821,3.149371,3.252413,3.144259,3.149359,2,0x5F37653B
0.402087,1.577030,1.628603,1.574473,1.577024,2,0x5F37653C
1.444956,0.831903,0.855150,0.830920,0.831901,2,0x5F37653D
0.120109,2.885444,2.943814,2.883661,2.885442,2,0x5F37653E
0.034561,5.379076,5.519213,5.373551,5.379067,2,0x5F37653F
1.717877,0.762964,0.786920,0.761824,0.762961,2,0x5F376540
0.247887,2.008507,1.941231,2.005165,2.008499,2,0x5F376541
0.069926,3.781644,3.746739,3.781163,3.781644,2,0x5F376542
1.209601,0.909241,0.913989,0.909204,0.909204,1,0x5F376543
1.029540,0.985550,0.959004,0.984487,0.985548,2,0x5F376544
0.231533,2.078232,2.013295,2.075220,2.078225,2,0x5F376545
0.148585,2.594251,2.676873,2.590262,2.594242,2,0x5F376546
1.042553,0.979379,0.955751,0.978531,0.979378,2,0x5F376547
0.085307,3.423785,3.500638,3.421179,3.423783,2,0x5F376548
0.147770,2.601402,2.683400,2.597484,2.601393,2,0x5F376549
0.371767,1.640078,1.689245,1.637845,1.640074,2,0x5F37654A
0.044779,4.725681,4.865281,4.719435,4.725669,2,0x5F37654B
0.528992,1.374914,1.403787,1.373998,1.374913,2,0x5F37654C
0.204669,2.210415,2.228204,2.210199,2.210199,1,0x5F37654D
1.905593,0.724411,0.739991,0.723905,0.724410,2,0x5F37654E
0.364760,1.655756,1.703259,1.653692,1.655752,2,0x5F37654F
0.069395,3.796098,3.755246,3.795441,3.796098,2,0x5F376550
0.037898,5.136776,5.305632,5.128359,5.136755,2,0x5F376551
0.240744,2.038083,1.969802,2.034690,2.038075,2,0x5F376552
0.037442,5.167990,5.334844,5.159822,5.167971,2,0x5F376553
0.278223,1.895846,1.876333,1.895546,1.895846,2,0x5F376554
0.750171,1.154569,1.182609,1.153539,1.154568,2,0x5F376555
0.061740,4.024539,3.889876,4.017856,4.024523,2,0x5F376556
0.658413,1.232398,1.274368,1.230229,1.232392,2,0x5F376557
1.369209,0.854604,0.874088,0.853933,0.854604,2,0x5F376558
0.627115,1.262777,1.305666,1.260567,1.262771,2,0x5F376559
0.045479,4.689180,4.820498,4.683612,4.689170,2,0x5F37655A
0.135051,2.721139,2.785151,2.718862,2.721136,2,0x5F37655B
1.239136,0.898340,0.906606,0.898225,0.898225,1,0x5F37655C
0.123305,2.847805,2.892688,2.846739,2.847805,2,0x5F37655D
0.057639,4.165255,4.042225,4.159858,4.165245,2,0x5F37655E
1.716100,0.763359,0.787365,0.762214,0.763356,2,0x5F37655F
0.116872,2.925126,2.995609,2.922558,2.925122,2,0x5F376560
0.425728,1.532618,1.581326,1.530272,1.532613,2,0x5F376561
0.889616,1.060226,1.043165,1.059817,1.060226,2,0x5F376562
0.058414,4.137525,3.996307,4.130377,4.137506,2,0x5F376563
1.642801,0.780203,0.805691,0.778940,0.780200,2,0x5F376564
1.377098,0.852153,0.872117,0.851446,0.852152,2,0x5F376565
1.549824,0.803265,0.828935,0.802021,0.803262,2,0x5F376566
0.213251,2.165479,2.159553,2.165455,2.165455,1,0x5F376567
1.907765,0.723998,0.739450,0.723500,0.723998,2,0x5F376568
0.069806,3.784882,3.748662,3.784364,3.784882,2,0x5F376569
1.702048,0.766503,0.790879,0.765328,0.766501,2,0x5F37656A
0.045470,4.689628,4.821061,4.684051,4.689618,2,0x5F37656B
0.349788,1.690822,1.733207,1.689214,1.690819,2,0x5F37656C
0.903506,1.052045,1.029277,1.051312,1.052045,2,0x5F37656D
0.735993,1.165637,1.196790,1.164376,1.165635,2,0x5F37656E
0.039519,5.030327,5.201906,5.021448,5.030303,2,0x5F37656F
0.688106,1.205514,1.244677,1.203585,1.205509,2,0x5F376570
0.064366,3.941577,3.835703,3.937350,3.941571,2,0x5F376571
0.044825,4.723232,4.862326,4.717028,4.723220,2,0x5F376572
1.166346,0.925948,0.924805,0.925945,0.925945,1,0x5F376573
0.526450,1.378229,1.406333,1.377363,1.378228,2,0x5F376574
1.904152,0.724685,0.740354,0.724173,0.724684,2,0x5F376575
0.286856,1.867102,1.859072,1.867050,1.867050,1,0x5F376576
0.087097,3.388421,3.472009,3.385303,3.388417,2,0x5F376577
0.104992,3.086184,3.185695,3.081319,3.086172,2,0x5F376578
0.183572,2.333978,2.396992,2.331403,2.333974,2,0x5F376579
0.134553,2.726171,2.789143,2.723972,2.726168,2,0x5F37657A
1.642588,0.780253,0.805745,0.778991,0.780250,2,0x5F37657B
0.155361,2.537053,2.622684,2.532669,2.537041,2,0x5F37657C
0.036903,5.205582,5.369348,5.197773,5.205564,2,0x5F37657D
1.609624,0.788203,0.813987,0.786924,0.788199,2,0x5F37657E
0.211469,2.174584,2.173815,2.174584,2.174584,1,0x5F37657F
0.042859,4.830363,4.988174,4.822546,4.830345,2,0x5F376580
0.369957,1.644086,1.692872,1.641893,1.644081,2,0x5F376581
0.139799,2.674529,2.747175,2.671542,2.674524,2,0x5F376582
0.279400,1.891851,1.873986,1.891599,1.891851,2,0x5F376583
0.929584,1.037184,1.003201,1.035532,1.037179,2,0x5F376584
0.712901,1.184365,1.219885,1.182751,1.184362,2,0x5F376585
0.080553,3.523375,3.576722,3.522158,3.523375,2,0x5F376586
0.425933,1.532250,1.580920,1.529906,1.532244,2,0x5F376587
0.706622,1.189615,1.226164,1.187914,1.189612,2,0x5F376588
0.226410,2.101610,2.054291,2.100024,2.101608,2,0x5F376589
1.712643,0.764129,0.788232,0.762976,0.764126,2,0x5F37658A
0.062639,3.995558,3.863348,3.989068,3.995543,2,0x5F37658B
0.057575,4.167572,4.046346,4.162333,4.167562,2,0x5F37658C
0.220453,2.129815,2.101948,2.129270,2.129815,2,0x5F37658D
0.075305,3.644073,3.660688,3.643960,3.643960,1,0x5F37658E
0.157115,2.522848,2.608654,2.518421,2.522837,2,0x5F37658F
0.178105,2.369529,2.440734,2.366287,2.369522,2,0x5F376590
0.063037,3.982934,3.856986,3.977023,3.982920,2,0x5F376591
0.638486,1.251481,1.294301,1.249258,1.251475,2,0x5F376592
0.609590,1.280800,1.323197,1.278671,1.280794,2,0x5F376593
0.307967,1.801972,1.816854,1.801787,1.801787,1,0x5F376594
0.079107,3.555438,3.599867,3.554602,3.555439,2,0x5F376595
0.171494,2.414768,2.493623,2.410864,2.414759,2,0x5F376596
0.113667,2.966082,3.046907,2.962749,2.966077,2,0x5F376597
0.086696,3.396247,3.478432,3.393239,3.396243,2,0x5F376598
0.459505,1.475214,1.513779,1.473688,1.475211,2,0x5F376599
0.133538,2.736514,2.797273,2.734475,2.736511,2,0x5F37659A
0.131646,2.756104,2.812406,2.754367,2.756102,2,0x5F37659B
0.552389,1.345481,1.380400,1.344110,1.345479,2,0x5F37659C
0.133457,2.737339,2.797918,2.735314,2.737337,2,0x5F37659D
1.357466,0.858293,0.877028,0.857675,0.858292,2,0x5F37659E
1.387134,0.849065,0.869611,0.848313,0.849064,2,0x5F37659F
0.102022,3.130778,3.233220,3.125695,3.130765,2,0x5F3765A0
0.223407,2.115690,2.078325,2.114706,2.115689,2,0x5F3765A1
1.950605,0.716004,0.728743,0.715662,0.716004,2,0x5F3765A2
1.548391,0.803637,0.829297,0.802395,0.803634,2,0x5F3765A3
0.634591,1.255315,1.298198,1.253093,1.255310,2,0x5F3765A4
1.902207,0.725055,0.740843,0.724536,0.725055,2,0x5F3765A5
0.167029,2.446830,2.529346,2.442609,2.446819,2,0x5F3765A6
0.582424,1.310329,1.350366,1.308476,1.310325,2,0x5F3765A7
0.117291,2.919899,2.988925,2.917432,2.919896,2,0x5F3765A8
0.043935,4.770836,4.919317,4.763833,4.770821,2,0x5F3765A9
0.937134,1.032997,0.997828,1.031222,1.032993,2,0x5F3765AA
0.193469,2.273494,2.317825,2.272189,2.273493,2,0x5F3765AB
0.327983,1.746121,1.776824,1.745306,1.746120,2,0x5F3765AC
0.569523,1.325087,1.363267,1.323421,1.325083,2,0x5F3765AD
0.870753,1.071649,1.062037,1.071520,1.071520,1,0x5F3765AE
0.296506,1.836467,1.839778,1.836458,1.836458,1,0x5F3765AF
1.705138,0.765809,0.790111,0.764639,0.765806,2,0x5F3765B0
0.178773,2.365097,2.435397,2.361932,2.365091,2,0x5F3765B1
0.108535,3.035393,3.129021,3.031017,3.035384,2,0x5F3765B2
0.304516,1.812153,1.823759,1.812042,1.812042,1,0x5F3765B3
0.535746,1.366220,1.397045,1.365169,1.366218,2,0x5F3765B4
0.630263,1.259619,1.302528,1.257401,1.259613,2,0x5F3765B5
0.122516,2.856951,2.905319,2.855715,2.856950,2,0x5F3765B6
0.082584,3.479786,3.544242,3.477984,3.479784,2,0x5F3765B7
0.086069,3.408604,3.488479,3.405774,3.408600,2,0x5F3765B8
0.105561,3.077852,3.176604,3.073049,3.077841,2,0x5F3765B9
0.097705,3.199209,3.302311,3.194172,3.199198,2,0x5F3765BA
0.605517,1.285100,1.327275,1.283001,1.285094,2,0x5F3765BB
0.212288,2.170388,2.167281,2.170382,2.170382,1,0x5F3765BC
0.546383,1.352855,1.386409,1.351597,1.352854,2,0x5F3765BD
0.064443,3.939252,3.834505,3.935111,3.939245,2,0x5F3765BE
1.103218,0.952071,0.940592,0.951864,0.951864,1,0x5F3765BF
0.907122,1.049947,1.025671,1.049111,1.049945,2,0x5F3765C0
1.324820,0.868804,0.885191,0.868337,0.868803,2,0x5F3765C1
0.291405,1.852472,1.849983,1.852467,1.852467,1,0x5F3765C2
0.978492,1.010931,0.977151,1.009256,1.010926,2,0x5F3765C3
1.731414,0.759975,0.783543,0.758868,0.759973,2,0x5F3765C4
0.078085,3.578628,3.616229,3.578033,3.578628,2,0x5F3765C5
1.140722,0.936289,0.931216,0.936248,0.936248,1,0x5F3765C6
1.357813,0.858183,0.876943,0.857563,0.858182,2,0x5F3765C7
1.599048,0.790805,0.816635,0.789526,0.790802,2,0x5F3765C8
0.943527,1.029492,0.994633,1.027741,1.029487,2,0x5F3765C9
1.409345,0.842348,0.864061,0.841501,0.842346,2,0x5F3765CA
0.231072,2.080300,2.017009,2.077441,2.080294,2,0x5F3765CB
0.125337,2.824624,2.862893,2.823842,2.824623,2,0x5F3765CC
0.074788,3.656665,3.668986,3.656602,3.656602,1,0x5F3765CD
0.261242,1.956492,1.910309,1.954870,1.956490,2,0x5F3765CE
0.094305,3.256357,3.356704,3.251671,3.256347,2,0x5F3765CF
0.394562,1.591998,1.643671,1.589455,1.591992,2,0x5F3765D0
0.337261,1.721935,1.758273,1.720777,1.721934,2,0x5F3765D1
0.186810,2.313661,2.371108,2.311503,2.313658,2,0x5F3765D2
0.033476,5.465572,5.588739,5.461377,5.465567,2,0x5F3765D3
0.035427,5.312936,5.463871,5.306444,5.312924,2,0x5F3765D4
1.683235,0.770775,0.795589,0.769564,0.770772,2,0x5F3765D5
0.063872,3.956809,3.843640,3.952000,3.956800,2,0x5F3765D6
1.394571,0.846798,0.867755,0.846013,0.846797,2,0x5F3765D7
1.275181,0.885552,0.897603,0.885305,0.885552,2,0x5F3765D8
0.074121,3.673063,3.679650,3.673045,3.673045,1,0x5F3765D9
0.132241,2.749902,2.807665,2.748069,2.749900,2,0x5F3765DA
1.316658,0.871492,0.887233,0.871063,0.871492,2,0x5F3765DB
0.322975,1.759606,1.786846,1.758970,1.759606,2,0x5F3765DC
0.267484,1.933530,1.897828,1.932548,1.933529,2,0x5F3765DD
0.539393,1.361593,1.393403,1.360470,1.361592,2,0x5F3765DE
0.055328,4.251366,4.190210,4.250053,4.251366,2,0x5F3765DF
0.338323,1.719230,1.756150,1.718032,1.719229,2,0x5F3765E0
0.055755,4.235064,4.162898,4.233230,4.235063,2,0x5F3765E1
0.421011,1.541180,1.590775,1.538760,1.541174,2,0x5F3765E2
0.800044,1.118003,1.132752,1.117710,1.118003,2,0x5F3765E3
0.101695,3.135812,3.238473,3.130716,3.135800,2,0x5F3765E4
0.236865,2.054705,1.985337,2.051232,2.054697,2,0x5F3765E5
0.160112,2.499124,2.584697,2.494678,2.499112,2,0x5F3765E6
0.818542,1.105298,1.114255,1.105189,1.105189,1,0x5F3765E7
0.482277,1.439965,1.468244,1.439126,1.439964,2,0x5F3765E8
0.939004,1.031968,0.996897,1.030200,1.031963,2,0x5F3765E9
0.247185,2.011356,1.944058,2.008017,2.011348,2,0x5F3765EA
0.666348,1.225038,1.266450,1.222915,1.225033,2,0x5F3765EB
0.118802,2.901274,2.964769,2.899174,2.901272,2,0x5F3765EC
0.882762,1.064335,1.050037,1.064048,1.064335,2,0x5F3765ED
1.272934,0.886333,0.898165,0.886095,0.886095,1,0x5F3765EE
0.044001,4.767263,4.915135,4.760313,4.767248,2,0x5F3765EF
1.175747,0.922238,0.922462,0.922238,0.922238,1,0x5F3765F0
0.052245,4.374996,4.387515,4.374942,4.374942,1,0x5F3765F1
1.252013,0.893708,0.903396,0.893550,0.893550,1,0x5F3765F2
0.049219,4.507463,4.581158,4.505646,4.507462,2,0x5F3765F3
0.859957,1.078355,1.072842,1.078313,1.078313,1,0x5F3765F4
0.051312,4.414599,4.447239,4.414237,4.414599,2,0x5F3765F5
0.038974,5.065394,5.236868,5.056588,5.065371,2,0x5F3765F6
0.371523,1.640617,1.689753,1.638387,1.640612,2,0x5F3765F7
0.189437,2.297563,2.350101,2.295747,2.297560,2,0x5F3765F8
0.202451,2.222489,2.245988,2.222115,2.222489,2,0x5F3765F9
1.682490,0.770946,0.795777,0.769733,0.770943,2,0x5F3765FA
0.153744,2.550356,2.635647,2.546030,2.550345,2,0x5F3765FB
0.762019,1.145558,1.170780,1.144719,1.145557,2,0x5F3765FC
0.244802,2.021121,1.953591,2.017774,2.021113,2,0x5F3765FD
0.366788,1.651172,1.699224,1.649054,1.651168,2,0x5F3765FE
0.378705,1.624986,1.675391,1.622616,1.624981,2,0x5F3765FF
0.895567,1.056698,1.037234,1.056164,1.056698,2,0x5F376600
0.045654,4.680182,4.809375,4.674784,4.680173,2,0x5F376601
1.191343,0.916182,0.918564,0.916172,0.916172,1,0x5F376602
0.150317,2.579266,2.663067,2.575138,2.579256,2,0x5F376603
0.493981,1.422804,1.444839,1.422289,1.422803,2,0x5F376604
0.627854,1.262033,1.304947,1.259819,1.262027,2,0x5F376605
1.083524,0.960684,0.945519,0.960327,0.960684,2,0x5F376606
0.033509,5.462879,5.586652,5.458641,5.462874,2,0x5F376607
0.032942,5.509624,5.622888,5.506108,5.509622,2,0x5F376608
0.057323,4.176723,4.062536,4.172083,4.176715,2,0x5F376609
0.679811,1.212847,1.252990,1.210831,1.212842,2,0x5F37660A
0.060989,4.049232,3.913941,4.042527,4.049215,2,0x5F37660B
0.106777,3.060277,3.157168,3.055627,3.060266,2,0x5F37660C
0.321214,1.764423,1.790373,1.763847,1.764422,2,0x5F37660D
0.181673,2.346147,2.412222,2.343329,2.346142,2,0x5F37660E
0.118474,2.905280,2.970016,2.903100,2.905277,2,0x5F37660F
0.469163,1.459951,1.494477,1.458717,1.459949,2,0x5F376610
0.170937,2.418698,2.498107,2.414745,2.418688,2,0x5F376611
0.062992,3.984359,3.857738,3.978387,3.984345,2,0x5F376612
0.998747,1.000627,0.967028,0.998954,1.000623,2,0x5F376613
0.761449,1.145987,1.171354,1.145138,1.145986,2,0x5F376614
0.219574,2.134075,2.109015,2.133636,2.134075,2,0x5F376615
0.040019,4.998842,5.170025,4.989949,4.998818,2,0x5F376616
0.240188,2.040444,1.972052,2.037044,2.040435,2,0x5F376617
0.546735,1.352419,1.386068,1.351153,1.352418,2,0x5F376618
0.795625,1.121104,1.137178,1.120756,1.121104,2,0x5F376619
1.305788,0.875112,0.889955,0.874732,0.875112,2,0x5F37661A
0.039995,5.000288,5.171508,4.991393,5.000264,2,0x5F37661B
0.059161,4.111326,3.972452,4.104369,4.111308,2,0x5F37661C
0.106066,3.070516,3.168547,3.065771,3.070505,2,0x5F37661D
0.324594,1.755213,1.783616,1.754520,1.755213,2,0x5F37661E
0.624153,1.265769,1.308651,1.263566,1.265764,2,0x5F37661F
1.685353,0.770291,0.795064,0.769083,0.770288,2,0x5F376620
0.089939,3.334455,3.426577,3.330602,3.334448,2,0x5F376621
0.039071,5.059107,5.230687,5.050280,5.059084,2,0x5F376622
0.431998,1.521455,1.568809,1.519222,1.521451,2,0x5F376623
1.260455,0.890710,0.901289,0.890521,0.890521,1,0x5F376624
0.095367,3.238187,3.339744,3.233359,3.238176,2,0x5F376625
1.006357,0.996837,0.964813,0.995310,0.996833,2,0x5F376626
0.196014,2.258691,2.297500,2.257685,2.258690,2,0x5F376627
0.142571,2.648404,2.725041,2.645046,2.648398,2,0x5F376628
1.137069,0.937792,0.932135,0.937741,0.937741,1,0x5F376629
1.589861,0.793086,0.818937,0.791809,0.793083,2,0x5F37662A
0.289567,1.858341,1.853671,1.858323,1.858323,1,0x5F37662B
0.093033,3.278542,3.377078,3.274055,3.278532,2,0x5F37662C
0.658143,1.232651,1.274663,1.230478,1.232645,2,0x5F37662D
0.088904,3.353819,3.443149,3.350218,3.353813,2,0x5F37662E
0.089777,3.337479,3.429187,3.333664,3.337472,2,0x5F37662F
0.646009,1.244173,1.286797,1.241957,1.244167,2,0x5F376630
0.038640,5.087221,5.258255,5.078499,5.087199,2,0x5F376631
1.032605,0.984085,0.958252,0.983077,0.984084,2,0x5F376632
0.246584,2.013806,1.946471,2.010467,2.013798,2,0x5F376633
1.304463,0.875556,0.890288,0.875183,0.875556,2,0x5F376634
1.671495,0.773477,0.798530,0.772247,0.773474,2,0x5F376635
1.247205,0.895429,0.904602,0.895287,0.895287,1,0x5F376636
0.324101,1.756546,1.784604,1.755870,1.756546,2,0x5F376637
0.355616,1.676908,1.721575,1.675108,1.676905,2,0x5F376638
0.367881,1.648718,1.697046,1.646573,1.648714,2,0x5F376639
0.409741,1.562232,1.613326,1.559698,1.562225,2,0x5F37663A
0.052553,4.362140,4.367812,4.362129,4.362129,1,0x5F37663B
